,city,county,lat,lon
239,Alabama,Montgomery,32.394089,-86.24356
240,Arkansas,Pulaski,34.727648,-92.342816
241,Arkansas,Pulaski,34.716767,-92.481808
242,Arkansas,Pulaski,34.66904,-92.434441
243,Arkansas,Pulaski,34.692718,-92.39731
244,Arkansas,Pulaski,34.747145,-92.473675
245,Arkansas,Pulaski,34.731995,-92.403051
246,Arkansas,Pulaski,34.732259,-92.331775
247,Arkansas,Pulaski,34.741559,-92.315418
248,Arkansas,Pulaski,34.729525,-92.347334
249,Arkansas,Pulaski,34.645979,-92.368536
250,Arkansas,Pulaski,34.768719,-92.343271
251,Arkansas,Pulaski,,
252,Arkansas,Pulaski,34.741524,-92.28592
253,Arkansas,Pulaski,34.770779,-92.33378
254,Arkansas,Pulaski,34.790459,-92.419368
255,Arkansas,Pulaski,34.757546,-92.317265
256,Arkansas,Pulaski,34.762832,-92.414595
257,Arkansas,Pulaski,34.804707,-92.490714
258,Arkansas,Pulaski,34.659456,-92.436121
259,Arkansas,Pulaski,34.67242,-92.335586
260,Arkansas,Pulaski,34.798415,-92.402968
261,Arkansas,Pulaski,34.742189,-92.324525
262,Arkansas,Pulaski,,
263,Arkansas,Pulaski,34.800187,-92.457665
264,Arkansas,Pulaski,34.664575,-92.426583
265,Arkansas,Pulaski,34.761795,-92.325963
266,Arkansas,Pulaski,34.657293,-92.433815
267,Arkansas,Pulaski,34.716234,-92.364733
268,Arkansas,Pulaski,34.749207,-92.400332
269,Arkansas,Pulaski,34.772842,-92.481706
270,Arkansas,Pulaski,34.701833,-92.328484
271,Arkansas,Pulaski,34.741377,-92.410482
272,Arkansas,Pulaski,34.755695,-92.379411
273,Arkansas,Pulaski,34.758465,-92.399841
274,Arkansas,Pulaski,34.725859,-92.29413
275,Arkansas,Pulaski,34.789568,-92.409228
276,Arkansas,Pulaski,34.729216,-92.285366
277,Arkansas,Pulaski,34.680246,-92.328324
278,Arkansas,Saline,34.760516,-92.594155
279,Arkansas,Pulaski,34.759195,-92.438521
280,Arkansas,Pulaski,34.777397,-92.337833
281,Arkansas,Pulaski,34.779791,-92.344303
282,Arkansas,Pulaski,34.66904,-92.434441
283,Arkansas,Pulaski,34.716767,-92.481808
284,Arkansas,Pulaski,34.692718,-92.39731
285,Arkansas,Pulaski,34.747145,-92.473675
286,Arkansas,Pulaski,34.731995,-92.403051
287,Arkansas,Pulaski,34.732259,-92.331775
288,Arkansas,Pulaski,34.729525,-92.347334
289,Arkansas,Pulaski,34.741559,-92.315418
290,Arkansas,Pulaski,34.645979,-92.368536
291,Arkansas,Pulaski,34.768719,-92.343271
292,Arkansas,Pulaski,,
293,Arkansas,Pulaski,34.741524,-92.28592
294,Arkansas,Pulaski,34.770779,-92.33378
295,Arkansas,Pulaski,34.790459,-92.419368
296,Arkansas,Pulaski,34.757546,-92.317265
297,Arkansas,Pulaski,34.762832,-92.414595
298,Arkansas,Pulaski,34.804707,-92.490714
299,Arkansas,Pulaski,34.659456,-92.436121
300,Arkansas,Pulaski,34.67242,-92.335586
301,Arkansas,Pulaski,34.798415,-92.402968
302,Arkansas,Pulaski,34.742189,-92.324525
303,Arkansas,Pulaski,,
304,Arkansas,Pulaski,34.800187,-92.457665
305,Arkansas,Pulaski,34.664575,-92.426583
306,Arkansas,Pulaski,34.761795,-92.325963
307,Arkansas,Pulaski,34.657293,-92.433815
308,Arkansas,Pulaski,34.716234,-92.364733
309,Arkansas,Pulaski,34.772842,-92.481706
310,Arkansas,Pulaski,34.749207,-92.400332
311,Arkansas,Pulaski,34.701833,-92.328484
312,Arkansas,Pulaski,34.741377,-92.410482
313,Arkansas,Pulaski,34.755695,-92.379411
314,Arkansas,Pulaski,34.758465,-92.399841
315,Arkansas,Pulaski,34.725859,-92.29413
316,Arkansas,Pulaski,34.789568,-92.409228
317,Arkansas,Pulaski,34.729216,-92.285366
318,Arkansas,Pulaski,34.680246,-92.328324
319,Arkansas,Saline,34.760516,-92.594155
320,Arkansas,Pulaski,34.759195,-92.438521
321,Arkansas,Pulaski,34.777397,-92.337833
322,Arkansas,Pulaski,34.779791,-92.344303
323,Arkansas,Pulaski,34.70221,-92.329713
324,Arkansas,Pulaski,34.716767,-92.481808
325,Arkansas,Pulaski,34.692718,-92.39731
326,Arkansas,Pulaski,34.747145,-92.473675
327,Arkansas,Pulaski,34.731995,-92.403051
328,Arkansas,Pulaski,34.732259,-92.331775
329,Arkansas,Pulaski,34.729525,-92.347334
330,Arkansas,Pulaski,34.741559,-92.315418
331,Arkansas,Pulaski,34.645979,-92.368536
332,Arkansas,Pulaski,34.768719,-92.343271
333,Arkansas,Pulaski,,
334,Arkansas,Pulaski,34.741524,-92.28592
335,Arkansas,Pulaski,34.770779,-92.33378
336,Arkansas,Pulaski,34.790459,-92.419368
337,Arkansas,Pulaski,34.757546,-92.317265
338,Arkansas,Pulaski,34.762832,-92.414595
339,Arkansas,Pulaski,34.804707,-92.490714
340,Arkansas,Pulaski,34.659456,-92.436121
341,Arkansas,Pulaski,34.67242,-92.335586
342,Arkansas,Pulaski,34.798415,-92.402968
343,Arkansas,Pulaski,34.742189,-92.324525
344,Arkansas,Pulaski,,
345,Arkansas,Pulaski,34.800187,-92.457665
346,Arkansas,Pulaski,34.664575,-92.426583
347,Arkansas,Pulaski,34.761795,-92.325963
348,Arkansas,Pulaski,34.657293,-92.433815
349,Arkansas,Pulaski,34.716234,-92.364733
350,Arkansas,Pulaski,34.772842,-92.481706
351,Arkansas,Pulaski,34.749207,-92.400332
352,Arkansas,Pulaski,34.701833,-92.328484
353,Arkansas,Pulaski,34.741377,-92.410482
354,Arkansas,Pulaski,34.755695,-92.379411
355,Arkansas,Pulaski,34.758465,-92.399841
356,Arkansas,Pulaski,34.725859,-92.29413
357,Arkansas,Pulaski,34.789568,-92.409228
358,Arkansas,Pulaski,34.729216,-92.285366
359,Arkansas,Pulaski,34.680246,-92.328324
360,Arkansas,Saline,34.760516,-92.594155
361,Arkansas,Pulaski,34.759195,-92.438521
362,Arkansas,Pulaski,34.777397,-92.337833
363,Arkansas,Pulaski,34.779791,-92.344303
364,Arkansas,Pulaski,34.70221,-92.329713
365,Arkansas,Pulaski,34.731835,-92.363116
366,Arkansas,Pulaski,34.692718,-92.39731
367,Arkansas,Pulaski,34.747145,-92.473675
368,Arkansas,Pulaski,34.731995,-92.403051
369,Arkansas,Pulaski,34.732259,-92.331775
370,Arkansas,Pulaski,34.741559,-92.315418
371,Arkansas,Pulaski,34.729525,-92.347334
372,Arkansas,Pulaski,34.645979,-92.368536
373,Arkansas,Pulaski,34.768719,-92.343271
374,Arkansas,Pulaski,,
375,Arkansas,Pulaski,34.741524,-92.28592
376,Arkansas,Pulaski,34.770779,-92.33378
377,Arkansas,Pulaski,34.790459,-92.419368
378,Arkansas,Pulaski,34.757546,-92.317265
379,Arkansas,Pulaski,34.762832,-92.414595
